spotify_track_id,track_name,track_artist,track_image,track_date_added
4PTG3Z6ehGkBFwjybzWkR8,Never Gonna Give You Up,Rick Astley,https://i.scdn.co/image/ab67616d0000b27315ebbedaacef61af244262a8,2024-04-30 05:14:38.344583
2hsA9YWuF3C9Gosi4dpjJN,Negro,J Balvin,https://i.scdn.co/image/ab67616d0000b27335692baca45542527d742d0d,2024-04-30 04:52:07.644812
0kdqcbwei4MDWFEX5f33yG?si=f8bee36907ea4d00,Bling-Bang-Bang-Born,Creepy Nuts,https://i.scdn.co/image/ab67616d0000b2733f6de9c0ca2148edf20daa6b,2024-04-30 03:10:19.669156
1eldTykrnkEBLX41bk5eMw?si=64da0ac85101491e,Petit génie,Jungeli,https://i.scdn.co/image/ab67616d0000b2737b6ae17633cbb6f9c1b5d4ac,2024-04-26 08:02:28.774281
7CAbF0By0Fpnbiu6Xn5ZF7?si=a169f1068ddf4870,Kingslayer (feat. BABYMETAL),Bring Me The Horizon,https://i.scdn.co/image/ab67616d0000b2735149c948fde506624246a684,2024-04-26 07:17:17.422818
3HDYqfUZN3vToDnhqNsb6J?si=e16a49cd76e14f1d,24 Rosas,Aitana,https://i.scdn.co/image/ab67616d0000b2732f74dd3a7c4ec82b58479b56,2024-04-26 06:08:25.93696
23sXtu1mNhQwZCCSyvwZCc?si=5eefee9114314a8b,Otra Vez,Aitana,https://i.scdn.co/image/ab67616d0000b27360bb82df55b4c301ed226fb9,2024-04-26 05:44:52.351599
1eWWdO6oIBdJT8SCXaYCYV?si=cab73633054442d8,Tu Foto Del DNI,Marmi,https://i.scdn.co/image/ab67616d0000b2734af8c4c4e256ae2a5483f19f,2024-04-26 04:14:37.690354
4IIFgOUMSAQFSuwaTgKqu8?si=2f0da86577314bb0,Las Dudas,Sebastian Yatra,https://i.scdn.co/image/ab67616d0000b2739f6800546cfaaacb3fa4b145,2024-04-26 04:12:11.091522
00QBHaaP4KUcjlmxWriMbC?si=deb218fd1fbe4075,Más De Lo Que Aposté,Aitana,https://i.scdn.co/image/ab67616d0000b273ae2f9104948453659b55dbf0,2024-04-26 04:08:04.449801
26QApq0cuO9brJigr0C0W4?si=326aef8bd2a0444b,HACIENDO QUE ME AMAS,Bad Bunny,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab,2024-04-26 03:36:41.619454
5e50NiIlOc2YJIftHzoehd?si=6f8fa53b93f64beb,MALA SANTA,Becky G,https://i.scdn.co/image/ab67616d0000b2739c8890c824bb9be2360e79c1,2024-04-25 03:42:42.420081
77dMSg2VHi2wwXjXNrmcrZ?si=d27b1ee5f1424500,Nena Maldición (feat. Lenny Tavárez),Paulo Londra,https://i.scdn.co/image/ab67616d0000b273cf7e54f668d6a31dd6566f24,2024-04-25 03:42:42.420081
278kSqsZIiYp8p3QjYAqa8?si=a642df6bf2fb4174,NI BIEN NI MAL,Bad Bunny,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,2024-04-25 03:42:42.420081
69ZaPBHhRMRDjRpW1ivnOU?si=13e0ca81676143b2,Como Antes,Bad Bunny,https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,2024-04-25 03:38:28.463556
7ncPjJBktLEOpstY5JOUMK?si=f9886ad31df34a95,一途,King Gnu,https://i.scdn.co/image/ab67616d0000b273681dedf478b2dde1a5b5ae4e,2024-04-25 03:37:18.776479
382n05RtneO3ykQlFQrAd1?si=ec96131e7c7d4cbe,Formidable,Stromae,https://i.scdn.co/image/ab67616d0000b273e742841accccf949d7af1b75,2024-04-25 03:30:38.48343
2HovXsvcdJur52BOcYGydz?si=2840a0ccdaf94c9c,カタオモイ,Aimer,https://i.scdn.co/image/ab67616d0000b273b56ada0ba61d7787fb213f72,2024-04-25 03:29:05.510469
7CAbF0By0Fpnbiu6Xn5ZF7?si=9c3f4302efda499d,Kingslayer (feat. BABYMETAL),Bring Me The Horizon,https://i.scdn.co/image/ab67616d0000b2735149c948fde506624246a684,2024-04-25 03:25:22.604615
1QFw2xxyQtgKjlrMCEqsNj?si=aaa1a1d54cc7449c,Papaoutai,Stromae,https://i.scdn.co/image/ab67616d0000b273e742841accccf949d7af1b75,2024-04-25 03:22:14.791072
5pXy29xzxR3aTB0SYRI590?si=a229f799cddf4c6d,Blanco,J Balvin,https://i.scdn.co/image/ab67616d0000b27335692baca45542527d742d0d,2024-04-25 03:22:14.791072
2hsA9YWuF3C9Gosi4dpjJN?si=25fb51325c1c4404,Negro,J Balvin,https://i.scdn.co/image/ab67616d0000b27335692baca45542527d742d0d,2024-04-25 03:09:05.812445
380HmhwTE2NJgawn1NwkXi?si=0f428b5e06724a51,Rojo,J Balvin,https://i.scdn.co/image/ab67616d0000b27335692baca45542527d742d0d,2024-04-25 03:07:16.03648
0fea68AdmYNygeTGI4RC18?si=a399e1c1eb4643d6,LA CANCIÓN,J Balvin,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,2024-04-25 02:50:57.683652
4JK1kDUdH9RTBQrrSO1QfR?si=86583a9a987740d2,ベテルギウス,Yuuri,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,2024-04-25 02:21:36.838261
